sample_name	sample_name_original	barcode_prefix	sample_type	emp500_shotgun_assembly_sample_name	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	lcms_sampling_material	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	read_count_shotgun_woltka_norm	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	alpha_shotgun_woltka_norm_10perc_min6550_richness	alpha_shotgun_woltka_norm_10perc_min6550_shannon	alpha_shotgun_woltka_norm_10perc_min6550_faithspd	alpha_shotgun_woltka_norm_10perc_rar6550_richness	alpha_shotgun_woltka_norm_10perc_rar6550_shannon	alpha_shotgun_woltka_norm_10perc_rar6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_min6550_richness	alpha_shotgun_woltka_norm_noSingletons_min6550_shannon	alpha_shotgun_woltka_norm_noSingletons_min6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_rar6550_richness	alpha_shotgun_woltka_norm_noSingletons_rar6550_shannon	alpha_shotgun_woltka_norm_noSingletons_rar6550_faithspd	alpha_lcms_cmn_microbial_shannon	alpha_lcms_cmn_microbial_richness	alpha_lcms_cmn_shannon	alpha_lcms_cmn_richness	alpha_lcms_fbmn_microbial_richness	alpha_lcms_fbmn_microbial_noSingletons_richness	alpha_gcms_filt50_shannon	alpha_gcms_filt50_richness	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material	songbird_trainTest_8020_empo_4
13114.6.Mock.Community1	Mock.Community1.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.6.Mock.Community2	Mock.Community2.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.6.Mock.Community3	Mock.Community3.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.6.Mock.Community4	Mock.Community4.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.7.Mock.Community1	Mock.Community1.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train	Train
13114.7.Mock.Community2	Mock.Community2.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train	Train
13114.7.Mock.Community3	Mock.Community3.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train	Test
13114.7.Mock.Community4	Mock.Community4.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train	Test
13114.7.Mock.Community5	Mock.Community5.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	mock community	193	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	Non-saline	Control	Positive	Positive	Mock community	Mock community	Mock community	urban biome	research facility	cell culture	misc environment	not applicable	USA:CA:San Diego	Mock.Community	not applicable	32.5	-117.25	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Train	Train	Train	Train
13114.angenent.65.s001	Angenent65.misc.104	angenent.65.s001	bioreactor sludge	bioreactor_rumen	EMP_Feces_angenent_65_s001_a03_M_185	185	note applicable	UCSD	5A1_2_2_angenent-65-s001-a04.mzML	5A1_2_2_angenent-65-s001-a04	5	Bulk_201901_UCSD	Sample	Bulk	not applicable	08/09/2011 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	10443561	3028047	6524581	3353952	497	1.826695625	80.46656046	50	1.812389687	14.29842542	926	2.53890519	154.8464297	925	2.538892354	154.4886544	114	2.545718201	34.86255725	1645	2.928117376473636	224.1315471927628	187	2.846937356977115	39.530108859836446	1645	2.928117376473636	224.1315471927628	187	2.846937356977115	39.530108859836446	4.993441649757194	54	7.580861973637189	549	2688	2688	4.205615505226305	190	Test	Test	Train	Train	Train
