"Sample ID"	Current_Natural_Log_Ratio	village	village
10333.Manaus.3546.1313272	null	Manaus	Manaus
10333.Manaus.3708.1313460	null	Manaus	Manaus
10333.Manaus.3318.1313403	null	Manaus	Manaus
10333.Manaus.3372.1313934	null	Manaus	Manaus
10333.Manaus.3658.1313980	-2.4999445271525405	Manaus	Manaus
10333.Manaus.3077.1313628	null	Manaus	Manaus
10333.Manaus.3653.1313829	null	Manaus	Manaus
10333.Manaus.3540.1313816	null	Manaus	Manaus
10333.Manaus.3400.1313349	null	Manaus	Manaus
10333.Manaus.3714.1313478	null	Manaus	Manaus
10333.Manaus.3439.1313981	null	Manaus	Manaus
10333.Manaus.3304.1313779	null	Manaus	Manaus
10333.Manaus.3648.1313498	-0.5245244681241523	Manaus	Manaus
10333.Manaus.3607.1313871	3.6888794541139363	Manaus	Manaus
10333.Manaus.3597.1313596	null	Manaus	Manaus
10333.Manaus.3016.1313758	null	Manaus	Manaus
10333.Manaus.3602.1313826	null	Manaus	Manaus
10333.Manaus.3163.1313488	null	Manaus	Manaus
10333.Manaus.3528.1313466	null	Manaus	Manaus
10333.Manaus.3622.1313609	null	Manaus	Manaus
10333.Manaus.3149.1313617	null	Manaus	Manaus
10333.Manaus.3277.1313435	null	Manaus	Manaus
10333.Manaus.3170.1313505	null	Manaus	Manaus
10333.Manaus.3612.1313899	0.5108256237659905	Manaus	Manaus
10333.Manaus.3617.1313375	null	Manaus	Manaus
10333.Manaus.3263.1313890	-1.056052674249314	Manaus	Manaus
10333.Manaus.3379.1313436	null	Manaus	Manaus
10333.Manaus.3270.1313288	-1.7491998548092593	Manaus	Manaus
10333.Manaus.3552.1313714	null	Manaus	Manaus
10333.Manaus.3386.1313690	null	Manaus	Manaus
10333.Manaus.3643.1313501	null	Manaus	Manaus
10333.Manaus.3063.1313692	null	Manaus	Manaus
10333.Manaus.3070.1313274	null	Manaus	Manaus
10333.Manaus.3522.1313846	-5.319900938215211	Manaus	Manaus
10333.Manaus.3177.1313640	null	Manaus	Manaus
10333.Manaus.3534.1313532	-1.5362345084108053	Manaus	Manaus
10333.Manaus.3462.1313495	null	Manaus	Manaus
10333.Manaus.3156.1313836	null	Manaus	Manaus
10333.Manaus.3663.1313687	null	Manaus	Manaus
10333.Manaus.3627.1313542	0.43721380642274443	Manaus	Manaus
10333.Manaus.3702.1313957	null	Manaus	Manaus
10333.Manaus.3516.1313443	null	Manaus	Manaus
10333.Manaus.3668.1313378	null	Manaus	Manaus
10333.Manaus.3023.1313483	null	Manaus	Manaus
10333.Manaus.3436.1313694	-0.0779615414697119	Manaus	Manaus
10333.Manaus.3311.1313932	null	Manaus	Manaus
10333.Manaus.3339.1313814	null	Manaus	Manaus
10333.Manaus.3393.1313477	null	Manaus	Manaus
10333.Che.219.huma	1.3814750746839417	Checherta	Checherta
10333.Che.254.huma	2.361209936341569	Checherta	Checherta
10333.Che.406.huma	3.9976445281287223	Checherta	Checherta
10333.Che.103.huma	5.581345770318471	Checherta	Checherta
10333.Che.306.huma	3.1135153092103742	Checherta	Checherta
10333.Che.288.huma	5.056245805348308	Checherta	Checherta
10333.Che.271.huma	3.4506222649896774	Checherta	Checherta
10333.Che.226.huma	2.022020488311128	Checherta	Checherta
10333.Che.431.huma	4.139158578011893	Checherta	Checherta
10333.Che.231.huma	4.035223439214303	Checherta	Checherta
10333.Che.28.huma	4.715166996226756	Checherta	Checherta
10333.Che.259.huma	4.077537443905719	Checherta	Checherta
10333.Che.449.huma	1.7047480922384253	Checherta	Checherta
10333.Che.114.huma	0.737598943130779	Checherta	Checherta
10333.Che.248.huma	2.380546634463758	Checherta	Checherta
10333.Che.347.huma	2.882936779408647	Checherta	Checherta
10333.Che.342.huma	3.919991175077323	Checherta	Checherta
10333.Che.242.huma	2.5526104460078214	Checherta	Checherta
10333.Che.300.huma	2.547038430895006	Checherta	Checherta
10333.Che.200.huma	0.5918934468547725	Checherta	Checherta
10333.Che.400.huma	5.256328646892515	Checherta	Checherta
10333.Che.352.huma	2.2787744443003266	Checherta	Checherta
10333.Che.177.huma	2.6494201166508056	Checherta	Checherta
10333.Che.294.huma	5.207845463383961	Checherta	Checherta
10333.Che.394.huma	1.145132304303003	Checherta	Checherta
10333.Che.98.huma	5.699148096582065	Checherta	Checherta
10333.Che.132.huma	2.926411694379362	Checherta	Checherta
10333.Che.237.huma	1.9810014688665833	Checherta	Checherta
10333.Che.34.huma	2.9845589729558655	Checherta	Checherta
10333.Che.460.huma	0.23767165187711958	Checherta	Checherta
10333.Che.138.huma	4.812184355372418	Checherta	Checherta
10333.Che.437.huma	2.7843859491118215	Checherta	Checherta
10333.Che.265.huma	1.3587444093516599	Checherta	Checherta
10333.Che.183.huma	null	Checherta	Checherta
10333.Che.189.huma	1.222406506014774	Checherta	Checherta
10333.Che.389.huma	1.3817932282390988	Checherta	Checherta
10333.Che.21.huma	-0.6286086594223739	Checherta	Checherta
10333.Che.455.huma	0.49643688631389127	Checherta	Checherta
10333.Che.150.huma	3.208151861505225	Checherta	Checherta
10333.Che.312.huma	1.951187206156157	Checherta	Checherta
10333.Che.318.huma	2.174751721484161	Checherta	Checherta
10333.Iqu.898.huma	-0.33647223662121295	Iquitos	Iquitos
10333.Iqu.1174.huma	null	Iquitos	Iquitos
10333.Iqu.892.huma	null	Iquitos	Iquitos
10333.Iqu.829.huma	0.2513144282809061	Iquitos	Iquitos
10333.Iqu.1098.huma	-1.0986122886681096	Iquitos	Iquitos
10333.Iqu.823.huma	1.791759469228055	Iquitos	Iquitos
10333.Man.1756.huma	null	Manaus	Manaus
10333.Iqu.1139.huma	null	Iquitos	Iquitos
10333.Iqu.1044.huma	null	Iquitos	Iquitos
10333.Iqu.1209.huma	null	Iquitos	Iquitos
10333.Iqu.1006.huma	1.128465251817791	Iquitos	Iquitos
10333.Iqu.841.huma	0.4307829160924541	Iquitos	Iquitos
10333.Iqu.1104.huma	null	Iquitos	Iquitos
10333.Man.1897.huma	null	Manaus	Manaus
10333.Man.1871.huma	null	Manaus	Manaus
10333.Man.1782.huma	-2.6390573296152584	Manaus	Manaus
10333.Man.1903.huma	null	Manaus	Manaus
10333.Iqu.1180.huma	null	Iquitos	Iquitos
10333.Man.1744.huma	null	Manaus	Manaus
10333.Iqu.1224.huma	1.3862943611198904	Iquitos	Iquitos
10333.Man.1912.huma	null	Manaus	Manaus
10333.Man.1717.huma	null	Manaus	Manaus
10333.Man.1750.huma	null	Manaus	Manaus
10333.Man.1727.huma	null	Manaus	Manaus
10333.Iqu.1242.huma	null	Iquitos	Iquitos
10333.Iqu.915.huma	-0.7259370033829362	Iquitos	Iquitos
10333.Man.1877.huma	-0.109199291964992	Manaus	Manaus
10333.Iqu.1012.huma	0	Iquitos	Iquitos
10333.Iqu.1018.huma	-0.49783842823917945	Iquitos	Iquitos
10333.Iqu.927.huma	-0.4054651081081644	Iquitos	Iquitos
10333.Iqu.886.huma	-2.995732273553991	Iquitos	Iquitos
10333.Iqu.1038.huma	null	Iquitos	Iquitos
10333.Iqu.1086.huma	1.0986122886681096	Iquitos	Iquitos
10333.Iqu.937.huma	null	Iquitos	Iquitos
