"Sample ID"	Current_Natural_Log_Ratio	village	village
10333.Manaus.3546.1313272	-2.4122494064531326	Manaus	Manaus
10333.Manaus.3708.1313460	-2.6216293946865212	Manaus	Manaus
10333.Manaus.3318.1313403	-1.7894632569677054	Manaus	Manaus
10333.Manaus.3372.1313934	-1.87478960050706	Manaus	Manaus
10333.Manaus.3658.1313980	-1.0923031194748454	Manaus	Manaus
10333.Manaus.3077.1313628	-0.9980448680658132	Manaus	Manaus
10333.Manaus.3653.1313829	-0.854817608016873	Manaus	Manaus
10333.Manaus.3540.1313816	-1.3949248086853778	Manaus	Manaus
10333.Manaus.3400.1313349	-2.1600082033588173	Manaus	Manaus
10333.Manaus.3714.1313478	-1.2714640649322657	Manaus	Manaus
10333.Manaus.3439.1313981	-1.5752590341847927	Manaus	Manaus
10333.Manaus.3304.1313779	-2.887986514815476	Manaus	Manaus
10333.Manaus.3648.1313498	-1.1350153982336284	Manaus	Manaus
10333.Manaus.3607.1313871	-2.022518691799691	Manaus	Manaus
10333.Manaus.3597.1313596	-1.9360029835774544	Manaus	Manaus
10333.Manaus.3016.1313758	-1.0541974353190486	Manaus	Manaus
10333.Manaus.3602.1313826	-1.9285184063434446	Manaus	Manaus
10333.Manaus.3163.1313488	-1.609941944702836	Manaus	Manaus
10333.Manaus.3528.1313466	-2.8729627873051067	Manaus	Manaus
10333.Manaus.3622.1313609	-2.353228303133621	Manaus	Manaus
10333.Manaus.3149.1313617	0.5148159135852044	Manaus	Manaus
10333.Manaus.3277.1313435	-0.06100709287833617	Manaus	Manaus
10333.Manaus.3170.1313505	-1.5857367314839959	Manaus	Manaus
10333.Manaus.3612.1313899	-2.2313658864457206	Manaus	Manaus
10333.Manaus.3617.1313375	-2.6016266338863296	Manaus	Manaus
10333.Manaus.3263.1313890	-0.21448893735454355	Manaus	Manaus
10333.Manaus.3379.1313436	-1.9161626099740436	Manaus	Manaus
10333.Manaus.3270.1313288	-1.7847270914418996	Manaus	Manaus
10333.Manaus.3552.1313714	-2.6979382718268674	Manaus	Manaus
10333.Manaus.3386.1313690	-2.144970815095361	Manaus	Manaus
10333.Manaus.3643.1313501	-1.6199877806433935	Manaus	Manaus
10333.Manaus.3063.1313692	-1.749531887334685	Manaus	Manaus
10333.Manaus.3070.1313274	-1.97586923149834	Manaus	Manaus
10333.Manaus.3522.1313846	-1.5278440899694345	Manaus	Manaus
10333.Manaus.3177.1313640	-2.1338121938893906	Manaus	Manaus
10333.Manaus.3534.1313532	-1.7458144838874805	Manaus	Manaus
10333.Manaus.3462.1313495	-0.9210616134909113	Manaus	Manaus
10333.Manaus.3156.1313836	-2.1946244824305357	Manaus	Manaus
10333.Manaus.3663.1313687	-0.9859307221788267	Manaus	Manaus
10333.Manaus.3627.1313542	-1.7929148248275801	Manaus	Manaus
10333.Manaus.3702.1313957	-2.031210049700338	Manaus	Manaus
10333.Manaus.3516.1313443	-2.6641498204462355	Manaus	Manaus
10333.Manaus.3668.1313378	-1.3517311464138082	Manaus	Manaus
10333.Manaus.3023.1313483	-2.0480704711631486	Manaus	Manaus
10333.Manaus.3436.1313694	-0.32849170213515855	Manaus	Manaus
10333.Manaus.3311.1313932	-1.8313896109894756	Manaus	Manaus
10333.Manaus.3339.1313814	-0.9218526920199945	Manaus	Manaus
10333.Manaus.3393.1313477	-2.5812716025372477	Manaus	Manaus
10333.Che.219.huma	-0.8392472492779941	Checherta	Checherta
10333.Che.254.huma	0.39374164441210535	Checherta	Checherta
10333.Che.406.huma	-1.3003559867241083	Checherta	Checherta
10333.Che.103.huma	2.516259872879404	Checherta	Checherta
10333.Che.306.huma	0.855146390694471	Checherta	Checherta
10333.Che.288.huma	0.31036405676175605	Checherta	Checherta
10333.Che.271.huma	0.3146945591138923	Checherta	Checherta
10333.Che.226.huma	-0.4167011813750907	Checherta	Checherta
10333.Che.431.huma	-1.486733501700897	Checherta	Checherta
10333.Che.231.huma	-0.14874526126035015	Checherta	Checherta
10333.Che.28.huma	1.6000136752838356	Checherta	Checherta
10333.Che.259.huma	-0.1489150657733136	Checherta	Checherta
10333.Che.449.huma	0.16527735929201537	Checherta	Checherta
10333.Che.114.huma	0.9324483249930005	Checherta	Checherta
10333.Che.248.huma	-2.0396212797479256	Checherta	Checherta
10333.Che.347.huma	0.150619963912499	Checherta	Checherta
10333.Che.342.huma	0.06420690117101024	Checherta	Checherta
10333.Che.242.huma	-0.8617912311088105	Checherta	Checherta
10333.Che.300.huma	1.0901630487568728	Checherta	Checherta
10333.Che.200.huma	1.8924286323832602	Checherta	Checherta
10333.Che.400.huma	1.077783911711423	Checherta	Checherta
10333.Che.352.huma	0.39102249279715817	Checherta	Checherta
10333.Che.177.huma	0.2355366903980194	Checherta	Checherta
10333.Che.294.huma	-0.1960485893482442	Checherta	Checherta
10333.Che.394.huma	0.6724579965754458	Checherta	Checherta
10333.Che.98.huma	0.8925533536059085	Checherta	Checherta
10333.Che.132.huma	0.0822103458988348	Checherta	Checherta
10333.Che.237.huma	0.6014174226549089	Checherta	Checherta
10333.Che.34.huma	1.4902075489121236	Checherta	Checherta
10333.Che.460.huma	-3.0926693517648767	Checherta	Checherta
10333.Che.138.huma	1.644583534327868	Checherta	Checherta
10333.Che.437.huma	-0.6023048873924024	Checherta	Checherta
10333.Che.265.huma	-0.7064330172715945	Checherta	Checherta
10333.Che.183.huma	0.3352301290192221	Checherta	Checherta
10333.Che.189.huma	-0.6820709461367604	Checherta	Checherta
10333.Che.389.huma	0.05242290371667124	Checherta	Checherta
10333.Che.21.huma	-2.2108812764175507	Checherta	Checherta
10333.Che.455.huma	-3.701351687020461	Checherta	Checherta
10333.Che.150.huma	-0.3643771643008247	Checherta	Checherta
10333.Che.312.huma	0.8536685021318116	Checherta	Checherta
10333.Che.318.huma	-1.0489771730331139	Checherta	Checherta
10333.Iqu.898.huma	-3.1336647185305084	Iquitos	Iquitos
10333.Iqu.1174.huma	-3.3703365975887074	Iquitos	Iquitos
10333.Iqu.892.huma	-1.7660025946406392	Iquitos	Iquitos
10333.Iqu.829.huma	-2.4481899502446733	Iquitos	Iquitos
10333.Iqu.1098.huma	-0.7681710571215383	Iquitos	Iquitos
10333.Iqu.823.huma	-3.168322913943345	Iquitos	Iquitos
10333.Man.1756.huma	-2.1988474753023315	Manaus	Manaus
10333.Iqu.1139.huma	-1.8592222396408795	Iquitos	Iquitos
10333.Iqu.1044.huma	-0.926700420805016	Iquitos	Iquitos
10333.Iqu.1209.huma	-1.7671432222457044	Iquitos	Iquitos
10333.Iqu.1006.huma	-0.28182705314230017	Iquitos	Iquitos
10333.Iqu.841.huma	-1.4328004164161054	Iquitos	Iquitos
10333.Iqu.1104.huma	0.026099625190584064	Iquitos	Iquitos
10333.Man.1897.huma	-0.06065269947925245	Manaus	Manaus
10333.Man.1871.huma	-2.235359526827178	Manaus	Manaus
10333.Man.1782.huma	-0.8058108064027474	Manaus	Manaus
10333.Man.1903.huma	-0.7473115033499358	Manaus	Manaus
10333.Iqu.1180.huma	-2.7908463573119704	Iquitos	Iquitos
10333.Man.1744.huma	-2.72143792197459	Manaus	Manaus
10333.Iqu.1224.huma	-0.9635235059141332	Iquitos	Iquitos
10333.Man.1912.huma	-1.8531680973566989	Manaus	Manaus
10333.Man.1717.huma	-2.019790832983859	Manaus	Manaus
10333.Man.1750.huma	-1.5125496870831423	Manaus	Manaus
10333.Man.1727.huma	-2.3522925481619037	Manaus	Manaus
10333.Iqu.1242.huma	-1.219444202024599	Iquitos	Iquitos
10333.Iqu.915.huma	-0.551781145031244	Iquitos	Iquitos
10333.Man.1877.huma	-2.311029514506438	Manaus	Manaus
10333.Iqu.1012.huma	-1.1731602859425587	Iquitos	Iquitos
10333.Iqu.1018.huma	-0.5251389414052703	Iquitos	Iquitos
10333.Iqu.927.huma	-1.2665736085942294	Iquitos	Iquitos
10333.Iqu.886.huma	-1.4955189210303903	Iquitos	Iquitos
10333.Iqu.1038.huma	0.2420715611997286	Iquitos	Iquitos
10333.Iqu.1086.huma	-1.6021845315103729	Iquitos	Iquitos
10333.Iqu.937.huma	-2.115110617886571	Iquitos	Iquitos
