"","10333.Manaus.3546.1313272","10333.Manaus.3708.1313460","10333.Manaus.3318.1313403","10333.Manaus.3372.1313934","10333.Manaus.3658.1313980","10333.Manaus.3077.1313628","10333.Manaus.3653.1313829","10333.Manaus.3540.1313816","10333.Manaus.3400.1313349","10333.Manaus.3714.1313478","10333.Manaus.3439.1313981","10333.Manaus.3304.1313779","10333.Manaus.3648.1313498","10333.Manaus.3607.1313871","10333.Manaus.3597.1313596","10333.Manaus.3016.1313758","10333.Manaus.3602.1313826","10333.Manaus.3163.1313488","10333.Manaus.3528.1313466","10333.Manaus.3622.1313609","10333.Manaus.3149.1313617","10333.Manaus.3277.1313435","10333.Manaus.3170.1313505","10333.Manaus.3612.1313899","10333.Manaus.3617.1313375","10333.Manaus.3263.1313890","10333.Manaus.3379.1313436","10333.Manaus.3270.1313288","10333.Manaus.3552.1313714","10333.Manaus.3386.1313690","10333.Manaus.3643.1313501","10333.Manaus.3063.1313692","10333.Manaus.3070.1313274","10333.Manaus.3522.1313846","10333.Manaus.3177.1313640","10333.Manaus.3534.1313532","10333.Manaus.3462.1313495","10333.Manaus.3156.1313836","10333.Manaus.3663.1313687","10333.Manaus.3627.1313542","10333.Manaus.3702.1313957","10333.Manaus.3516.1313443","10333.Manaus.3668.1313378","10333.Manaus.3023.1313483","10333.Manaus.3436.1313694","10333.Manaus.3311.1313932","10333.Manaus.3339.1313814","10333.Manaus.3393.1313477","10333.Che.219.huma","10333.Che.254.huma","10333.Che.406.huma","10333.Che.103.huma","10333.Che.306.huma","10333.Che.288.huma","10333.Che.271.huma","10333.Che.226.huma","10333.Che.431.huma","10333.Che.231.huma","10333.Che.28.huma","10333.Che.259.huma","10333.Che.449.huma","10333.Che.114.huma","10333.Che.248.huma","10333.Che.347.huma","10333.Che.342.huma","10333.Che.242.huma","10333.Che.300.huma","10333.Che.200.huma","10333.Che.400.huma","10333.Che.352.huma","10333.Che.177.huma","10333.Che.294.huma","10333.Che.394.huma","10333.Che.98.huma","10333.Che.132.huma","10333.Che.237.huma","10333.Che.34.huma","10333.Che.460.huma","10333.Che.138.huma","10333.Che.437.huma","10333.Che.265.huma","10333.Che.183.huma","10333.Che.189.huma","10333.Che.389.huma","10333.Che.21.huma","10333.Che.455.huma","10333.Che.150.huma","10333.Che.312.huma","10333.Che.318.huma","10333.Iqu.898.huma","10333.Iqu.1174.huma","10333.Iqu.892.huma","10333.Iqu.829.huma","10333.Iqu.1098.huma","10333.Iqu.823.huma","10333.Man.1756.huma","10333.Iqu.1139.huma","10333.Iqu.1044.huma","10333.Iqu.1209.huma","10333.Iqu.1006.huma","10333.Iqu.841.huma","10333.Iqu.1104.huma","10333.Man.1897.huma","10333.Man.1871.huma","10333.Man.1782.huma","10333.Man.1903.huma","10333.Iqu.1180.huma","10333.Man.1744.huma","10333.Iqu.1224.huma","10333.Man.1912.huma","10333.Man.1717.huma","10333.Man.1750.huma","10333.Man.1727.huma","10333.Iqu.1242.huma","10333.Iqu.915.huma","10333.Man.1877.huma","10333.Iqu.1012.huma","10333.Iqu.1018.huma","10333.Iqu.927.huma","10333.Iqu.886.huma","10333.Iqu.1038.huma","10333.Iqu.1086.huma","10333.Iqu.937.huma"
"10333.Manaus.3546.1313272",0,-0.346465636368459,-0.381393244396276,-0.404407226561113,-0.311165285936933,-0.340653893127386,-0.316732301942186,-0.240921200062626,-0.389760366610326,-0.277777753359767,-0.291675207532791,-0.433714121949108,-0.278240360058146,-0.343057619677922,-0.300491830582806,-0.330688404635388,-0.2588105120853,-0.2353017931221,-0.276678433883599,-0.320980159250307,-0.320378416162796,-0.410885336312701,-0.290276223552186,-0.285101922876002,-0.293676979655648,-0.37385888009007,-0.273024619401316,-0.381177379042381,-0.332388864358121,-0.360221643889568,-0.291856561771955,-0.316450963035402,-0.316359580908845,-0.334438922399428,-0.224728153197024,-0.234735610488287,-0.301395106366648,-0.467770082969183,-0.321902067934118,-0.267040289958278,-0.248926794308705,-0.226787650514985,-0.303832999186946,-0.270839263253578,-0.365476894068882,-0.339623870119232,-0.373063251644986,-0.29286363523666,-0.39387681877213,-0.426747165490702,-0.421643963133142,-0.483829261614776,-0.547334650474697,-0.425645023917121,-0.389072870561519,-0.356431704085442,-0.317773501197649,-0.365947646214063,-0.554822158738388,-0.401491857210237,-0.428206475173948,-0.453155473333329,-0.321158429198217,-0.428529222832646,-0.455533155258039,-0.382696399315243,-0.550164469055473,-0.542829198095061,-0.49307279166061,-0.434460348302201,-0.422284475639182,-0.413248757492597,-0.596226758927542,-0.462469805382449,-0.426540140849612,-0.371200120104985,-0.529428036080584,-0.410838738481142,-0.476778907348041,-0.35133398027038,-0.346628048712651,-0.535673382839193,-0.433048613553312,-0.402764928506445,-0.460508339096052,-0.46003212020843,-0.383554696204735,-0.467583096927639,-0.588142724911112,-0.289276656015732,-0.433067755611959,-0.259162978555669,-0.329487416297451,-0.321575646319754,-0.257805479694151,-0.379748970668124,-0.371257040380927,-0.430251736079924,-0.277053043747077,-0.335883197017718,-0.365360537437413,-0.430396743116649,-0.399291281740347,-0.29991155144092,-0.359766865731223,-0.348006768431928,-0.310564231634615,-0.29245443424713,-0.320408655489565,-0.352515001693022,-0.25832823564599,-0.285169274627585,-0.308954278441563,-0.320671582898214,-0.406340756355669,-0.336565275892061,-0.310143307408397,-0.384789416405389,-0.344096299010587,-0.270214786161066,-0.474314880326584,-0.278226269887853,-0.399249540598688
"10333.Manaus.3708.1313460",-0.346465636368459,0,-0.416661552263518,-0.477752937499236,-0.255923252603355,-0.446593433604222,-0.304610763060777,-0.347341930185632,-0.421285685756208,-0.359510269699194,-0.418407921952272,-0.239413749275919,-0.420112731041573,-0.323064614346453,-0.367177172324966,-0.384648488872049,-0.291278407592167,-0.316205929486434,-0.263637334338492,-0.162723391179161,-0.452992668693038,-0.536340548252026,-0.259876743616198,-0.285468511200774,-0.412117275251175,-0.438963974988396,-0.345437563712388,-0.509956874925953,-0.17072946004331,-0.513176483948595,-0.448867765841941,-0.442146763824945,-0.428195183541798,-0.442692496164833,-0.310354135572348,-0.223100081249605,-0.455527124381278,-0.596581590742288,-0.324397233168555,-0.290635587857955,-0.37776732162675,-0.37613333545149,-0.280760486535279,-0.218224429134894,-0.437721025833664,-0.492577313459694,-0.45044664452574,-0.310427875896893,-0.487862077346913,-0.513034203253275,-0.493330942705351,-0.566535771164103,-0.639845194142529,-0.498121345635246,-0.476109690833164,-0.471234756347269,-0.395905700349831,-0.378347273346762,-0.614193309083276,-0.455855879883937,-0.551481958479023,-0.55901313601998,-0.458829577455235,-0.514721733973895,-0.403101414355789,-0.49506201199337,-0.645872322203125,-0.627146724060209,-0.562689442898436,-0.537309418762697,-0.531131691871412,-0.474491185403964,-0.663303677681893,-0.569207461220411,-0.537254948845423,-0.437929388292158,-0.619196815723372,-0.451713770860382,-0.567862509346401,-0.475962740801419,-0.333005371429115,-0.606004526141045,-0.525134522757039,-0.306617853133214,-0.562996680029781,-0.528508046289725,-0.258250725564591,-0.575995060126777,-0.664296959430887,-0.40793533541244,-0.528538552537807,-0.37160346457118,-0.49708430952922,-0.306936920729673,-0.235910843684923,-0.480499492548648,-0.190689558317102,-0.569599240996243,-0.378634108133145,-0.456633280382034,-0.483063480968763,-0.534706650103696,-0.527180793246902,-0.284980213703042,-0.191416883269892,-0.305262966918554,-0.387562169330021,-0.249720411608729,-0.445520220319841,-0.359054514094501,-0.25391730572007,-0.404077859362977,-0.161616633380004,-0.45406105104608,-0.428813474728483,-0.304777904799691,-0.447607231174101,-0.476916783759954,-0.240423703808417,-0.30493929130352,-0.565133412601299,-0.341687019750011,-0.319668173983497
"10333.Manaus.3318.1313403",-0.381393244396276,-0.416661552263518,0,-0.437065502154729,-0.353662142502378,-0.359653871263631,-0.414970007878512,-0.392737779691377,-0.476979091335166,-0.325099200714988,-0.433822878444675,-0.459987796720465,-0.353160908520612,-0.345246126707594,-0.32854688092808,-0.349996204958468,-0.314193363164523,-0.377377232064947,-0.431619993590499,-0.380162551529261,-0.337063504679812,-0.497104894055285,-0.4077525731017,-0.316778960243656,-0.378315655086843,-0.367836768764089,-0.282676045909833,-0.428850906015994,-0.420655719300123,-0.452665651490229,-0.356617795799259,-0.418645342254641,-0.267853576195876,-0.494749412689331,-0.372873899124941,-0.416322690274717,-0.32960954906768,-0.690646180241359,-0.382663719349583,-0.337017595770342,-0.384538811484074,-0.406528585660705,-0.352711245441843,-0.39226704659732,-0.412868083549669,-0.429930730205248,-0.461472981941547,-0.348904136264892,-0.4516182408743,-0.451263388099567,-0.464355680123218,-0.481911318914774,-0.658390468554822,-0.451651762153721,-0.403676598358067,-0.376502916100121,-0.308609599589576,-0.416271951730294,-0.573339609527823,-0.389349169795954,-0.404906740504452,-0.472086212422175,-0.379671996911949,-0.522958000217157,-0.424075408813111,-0.36576956689963,-0.575207173093558,-0.54886540084466,-0.49376665630969,-0.440517116809696,-0.435567222165896,-0.433900753332812,-0.585286609832619,-0.478317447116131,-0.436420363622806,-0.368778651716054,-0.406142814165601,-0.418656480211518,-0.513236531454711,-0.422055322032002,-0.403705815940049,-0.55057778428071,-0.452467048027461,-0.464690310723093,-0.513884953357603,-0.48932324526445,-0.423558420031256,-0.563642769257896,-0.426483674830514,-0.39542903366294,-0.474598170215539,-0.36407687340878,-0.460207802131699,-0.38276718087713,-0.350532870500651,-0.536795798827761,-0.419318379962117,-0.572238805360957,-0.370889534627303,-0.381679423703869,-0.456023532131802,-0.458601036475828,-0.539895549061709,-0.287531521898372,-0.422576928301032,-0.3201184010991,-0.39323640578754,-0.388767185538215,-0.452156225745521,-0.250478160204792,-0.3310096477117,-0.368127823139569,-0.355285777562505,-0.453396489346278,-0.468111206504581,-0.290034694367637,-0.375139044862951,-0.439580478069551,-0.401921853632292,-0.421127742636722,-0.476156402404904,-0.362199373945602,-0.400705256003075
"10333.Manaus.3372.1313934",-0.404407226561113,-0.477752937499236,-0.437065502154729,0,-0.43397925726301,-0.433229433131265,-0.411120724061702,-0.386503324963892,-0.370174282684328,-0.44145622456855,-0.414554212116296,-0.51420636971606,-0.431910411027544,-0.407947619164131,-0.392978070292901,-0.459247593728737,-0.379442436583463,-0.359471427039382,-0.374081960745533,-0.451151522998832,-0.460874413767606,-0.470261365701475,-0.38607394495216,-0.415849462786814,-0.390656559468068,-0.498441792076604,-0.330046478256273,-0.42494832003955,-0.441000180127831,-0.366960216236719,-0.425846352680005,-0.476916451955206,-0.443500446912907,-0.413713032444325,-0.36560675662297,-0.42924330151966,-0.448588457635225,-0.561761214814952,-0.397049101737253,-0.429599813152865,-0.406028365219434,-0.377914065307229,-0.365561810665128,-0.427016282988786,-0.431170256104545,-0.402494181631285,-0.499865525369798,-0.302857004190323,-0.439825872947417,-0.424378572653197,-0.376010776551509,-0.509751833394282,-0.57033338537513,-0.495862263608021,-0.415961570723388,-0.391481558034796,-0.435105735087673,-0.462065474675446,-0.465282016823673,-0.450184817149854,-0.489180509572325,-0.504183397409005,-0.423283785515644,-0.471313646882461,-0.505430932293322,-0.4261822024531,-0.444639892870346,-0.469024211090584,-0.435006270151306,-0.457130398410602,-0.437121330388643,-0.45730854933161,-0.500050287207594,-0.483644800495944,-0.502868602291159,-0.406269340373366,-0.593187901094077,-0.425487982556144,-0.497194216778315,-0.41948542642985,-0.452548203938323,-0.447970456539202,-0.503783117666446,-0.527147611907216,-0.466889375768472,-0.527192467313169,-0.512560261941618,-0.516740368861953,-0.628418875124311,-0.41950025183766,-0.410900202266077,-0.384163098837439,-0.510362878277413,-0.483676417149622,-0.425701410344392,-0.538600835450489,-0.487916979343362,-0.529058729176738,-0.445242139807801,-0.467053661492455,-0.420787519286691,-0.47245840266679,-0.460729254680454,-0.405487136247445,-0.472469548165199,-0.417857944038515,-0.373256610160308,-0.400218420751421,-0.414809671338766,-0.473629732513021,-0.433590862269286,-0.408315773129498,-0.460483155370916,-0.515742328187048,-0.514699997799819,-0.402243021201893,-0.475540193201484,-0.400063854202236,-0.49869722211586,-0.385062465092261,-0.389508053514835,-0.387827263990956,-0.501475221321063
"10333.Manaus.3658.1313980",-0.311165285936933,-0.255923252603355,-0.353662142502378,-0.43397925726301,0,-0.335650300827554,-0.243323508667941,-0.292497497782714,-0.411038842972128,-0.339437890044487,-0.34948423841746,-0.330928979040961,-0.298927570993503,-0.333047959029305,-0.302324009536625,-0.338686815081898,-0.231211680020809,-0.27729790599798,-0.36272579204384,-0.214957048090115,-0.360274310539335,-0.423787209128374,-0.3001651502255,-0.208107377732043,-0.319058496176745,-0.375169362307205,-0.266579125124483,-0.435633964222605,-0.255299114646,-0.45616797408514,-0.329889436044818,-0.424095182409258,-0.369368781058341,-0.41415130653962,-0.269711508045296,-0.247171043398644,-0.343524615603803,-0.601372893437482,-0.17198319341275,-0.245717870296821,-0.341120845987087,-0.374296500037251,-0.134250994409947,-0.308402947442126,-0.309302210506678,-0.447940887088709,-0.396011634687857,-0.322805449143679,-0.373768929278332,-0.393780148921621,-0.386917507667962,-0.481274679615916,-0.575475588628125,-0.42144813916525,-0.344662623081949,-0.33620865173545,-0.297130081712748,-0.292460781398022,-0.522408592666062,-0.334008183459244,-0.381708061524078,-0.40797990010376,-0.360695193561662,-0.442845053343621,-0.409088950083901,-0.35457115452093,-0.55687678053117,-0.546949559803592,-0.454679829720447,-0.392284315933508,-0.395651480251641,-0.39820295901286,-0.604667890110598,-0.457732952181297,-0.408688700471258,-0.293756198204357,-0.517172351763771,-0.371915738093993,-0.449324425952897,-0.380097228184593,-0.281112040068142,-0.522595137281732,-0.373565965118399,-0.36281250505754,-0.441138807019299,-0.501674228570513,-0.290124517011455,-0.479077458951458,-0.571571718023195,-0.351414174857865,-0.462538117564896,-0.313074959534501,-0.44908633204184,-0.252068809479825,-0.273582270392045,-0.469539972407135,-0.244191272620433,-0.531168865669051,-0.299307227781773,-0.349833932536883,-0.41548310866212,-0.387736451116314,-0.492696569539875,-0.238731425991095,-0.284039979685192,-0.25669739347567,-0.340318793925265,-0.226145601773203,-0.358982743216827,-0.304116639740836,-0.259137344794215,-0.354701206978435,-0.228693790775096,-0.403566303949802,-0.381628361154153,-0.273600011957247,-0.321867112455661,-0.379755512636685,-0.249593938883386,-0.246224460456903,-0.475654719232705,-0.275477707688027,-0.312854590100076
"10333.Manaus.3077.1313628",-0.340653893127386,-0.446593433604222,-0.359653871263631,-0.433229433131265,-0.335650300827554,0,-0.34009531848439,-0.297320285857344,-0.378876336677625,-0.28810792332889,-0.312135276716249,-0.532726858115268,-0.253121413017569,-0.406234848104378,-0.275593320407701,-0.351621791626577,-0.301057531801281,-0.324303379602334,-0.427724383197353,-0.42093197088256,-0.288784018768322,-0.33811348552833,-0.373538094294783,-0.318405818095994,-0.293432210933044,-0.327680148894459,-0.304085691660106,-0.369388142482805,-0.443326527930846,-0.387710122841468,-0.250703935439082,-0.323797591913002,-0.257393313860823,-0.386319037215114,-0.32330456079432,-0.347308489666768,-0.243642218255632,-0.558677295503813,-0.337092496711944,-0.302605374256182,-0.287779803109777,-0.377457962303267,-0.325810779535853,-0.387343260237321,-0.311511189937266,-0.342095103132142,-0.367106268637642,-0.371921334281356,-0.291545686833933,-0.341292118671085,-0.431692872789039,-0.502583971887771,-0.549100530732229,-0.373272114389231,-0.32684799692942,-0.321954184437289,-0.317959075324981,-0.342315279117317,-0.563645690958491,-0.365581154926223,-0.343348916272191,-0.32082308180712,-0.297192721760165,-0.420089299651662,-0.416301960755541,-0.345792128782233,-0.522184310727815,-0.510818208822552,-0.481421706292045,-0.311811219218974,-0.321766610771557,-0.396341010337913,-0.549314964602324,-0.456748507630044,-0.361095282663579,-0.330531139309157,-0.477276050253196,-0.387581070491849,-0.439516570157589,-0.305770516922982,-0.367421141347577,-0.54133503518514,-0.311564596257298,-0.400997023832711,-0.402039119066523,-0.510039058728307,-0.40621878366442,-0.430277502854018,-0.545549813059996,-0.340380202458699,-0.448768795529536,-0.30102153699885,-0.367715586365646,-0.314196266568914,-0.364394002806234,-0.473441825336681,-0.456060646510233,-0.470247167380461,-0.293742376038465,-0.296169998659031,-0.385727945555252,-0.315325117294049,-0.425901393860326,-0.332696856821825,-0.434739332240523,-0.325495703118533,-0.352845326335716,-0.400971052990771,-0.361826194432897,-0.339956079360576,-0.336808727487733,-0.316784667017116,-0.385242177974339,-0.353026110628756,-0.366726215730194,-0.344571161533687,-0.249346704149294,-0.352571466900564,-0.408501537666521,-0.35277237679069,-0.459636728126587,-0.321328222056531,-0.467899724221987
"10333.Manaus.3653.1313829",-0.316732301942186,-0.304610763060777,-0.414970007878512,-0.411120724061702,-0.243323508667941,-0.34009531848439,0,-0.259638543698329,-0.389661874088387,-0.337999842752941,-0.324993651984817,-0.370988389679349,-0.278455286079572,-0.376546939642469,-0.317387962065512,-0.340663786482551,-0.276492044068883,-0.272062508454985,-0.319299586594714,-0.281248499184797,-0.371489009780139,-0.390966220789281,-0.254205608993836,-0.288385018760569,-0.353449076802766,-0.36134263899572,-0.30714589370667,-0.438561710382142,-0.302097177579037,-0.412479005953376,-0.336433616641949,-0.438987576606829,-0.404154164837746,-0.40688667238401,-0.268134522537414,-0.255365008200304,-0.3527938559018,-0.574219361513372,-0.245444163264249,-0.287610913604664,-0.342802807181073,-0.345423716418768,-0.238243431333602,-0.292937879198329,-0.303444841743501,-0.409234536815932,-0.355183198539969,-0.338748457705068,-0.400283212363767,-0.407459769801065,-0.421872644912005,-0.509858741400366,-0.563723026627498,-0.424294630553032,-0.368486868831876,-0.363507162911946,-0.366738194956359,-0.338951225778435,-0.538417265086017,-0.385527276373612,-0.434047508275854,-0.41969238460559,-0.387105580743814,-0.460100777721525,-0.433838005128709,-0.396493166467278,-0.568667669922297,-0.556526685984203,-0.479657438654068,-0.414903316969884,-0.41045555403558,-0.404685985351465,-0.611167594398835,-0.468668407580821,-0.434606160642473,-0.335869926352861,-0.575363529011048,-0.42585019962862,-0.467544462154404,-0.392894895679875,-0.304726464788419,-0.537948580567796,-0.413653829708453,-0.371585655970978,-0.459166304556246,-0.548044371352243,-0.343279748450102,-0.472939522504453,-0.619179094870819,-0.386062109219003,-0.526099440239212,-0.316814953113032,-0.469188158997324,-0.278350003109499,-0.276323277100082,-0.485110209782715,-0.299838583232119,-0.50696471656772,-0.310685174760105,-0.410597240968477,-0.424389249550983,-0.389441906881083,-0.470784504108071,-0.324922210229005,-0.304606294379064,-0.318726240300783,-0.376053580999624,-0.300795135503317,-0.36386679140424,-0.371485735781458,-0.294674371570214,-0.37213438584927,-0.283369478766714,-0.410278289325004,-0.381320678160097,-0.346398929846439,-0.344505961278933,-0.401218375611509,-0.288712273844343,-0.276442568822052,-0.513036272267083,-0.324718659895257,-0.368263456722016
"10333.Manaus.3540.1313816",-0.240921200062626,-0.347341930185632,-0.392737779691377,-0.386503324963892,-0.292497497782714,-0.297320285857344,-0.259638543698329,0,-0.343076782346293,-0.310260634291758,-0.280008780638817,-0.442579807817178,-0.251072608001059,-0.374197765101351,-0.27905563748156,-0.351730717120533,-0.272162313762378,-0.222813737644485,-0.308552353566352,-0.336380935469831,-0.312565821847402,-0.366543367788943,-0.287812814068049,-0.301839308331921,-0.298960374362557,-0.367916779482921,-0.295137988815776,-0.391613947864613,-0.363112904581941,-0.344808504407334,-0.286596868793248,-0.381843510236858,-0.354088750337468,-0.352605487134751,-0.229819861475947,-0.21000237131814,-0.305032756952818,-0.517733356959711,-0.300420180009972,-0.270750447984438,-0.280106357984448,-0.267008811028292,-0.291354540750008,-0.301445887007231,-0.316438168759507,-0.342724669749336,-0.351386445791557,-0.290801643045957,-0.358568690077712,-0.370130270650382,-0.397730564440282,-0.482263117536951,-0.558532722473951,-0.428930179061836,-0.337604507089102,-0.335560665016648,-0.338202836483317,-0.32363540606282,-0.519112628483186,-0.36644081060152,-0.418548589909535,-0.395586511553062,-0.328474305533873,-0.400484055135259,-0.421663310350799,-0.366850938823944,-0.531473414729883,-0.530677434085852,-0.459966765845059,-0.39054511117566,-0.381694986955481,-0.406263816309089,-0.578624834597726,-0.436390861376058,-0.394202079180211,-0.306444783124102,-0.554217313416362,-0.403020887097876,-0.429095784124962,-0.323826475606035,-0.344408784373827,-0.517273966796001,-0.405486892221864,-0.375466540137341,-0.44729731553307,-0.509097673444093,-0.359887734972644,-0.454716256649572,-0.613001224730629,-0.317558078448033,-0.488735039840623,-0.27207661904273,-0.383123713473749,-0.290487147349407,-0.283407508201992,-0.440939485579098,-0.380562381968827,-0.448481218871316,-0.294803539839129,-0.365844520399836,-0.368916633728776,-0.361344323467309,-0.438693717958611,-0.307299698463729,-0.364755748562966,-0.335635389983568,-0.319505157297135,-0.336878606545739,-0.342461266307641,-0.370610322714766,-0.272740901275076,-0.294657220604656,-0.328178670003263,-0.368042402394607,-0.388094116781121,-0.331039889837063,-0.297210280314793,-0.355789200631143,-0.358802629514638,-0.266582614724002,-0.488591175425942,-0.296770493898247,-0.401188352043521
"10333.Manaus.3400.1313349",-0.389760366610326,-0.421285685756208,-0.476979091335166,-0.370174282684328,-0.411038842972128,-0.378876336677625,-0.389661874088387,-0.343076782346293,0,-0.377230878178318,-0.325662432081518,-0.499461371655652,-0.356484056074369,-0.482465672471973,-0.35118917726039,-0.426772976915598,-0.407611191284426,-0.324998804676547,-0.414128965846608,-0.430850586107553,-0.423967903750301,-0.419581172701049,-0.369878603642801,-0.423834390154461,-0.328611237982429,-0.404190927759598,-0.374830244898233,-0.379549683164777,-0.469172879992457,-0.335456038060666,-0.374819425846006,-0.403481960405703,-0.414592561008572,-0.369797456736806,-0.344583696268647,-0.360083075559951,-0.389095480155863,-0.457613890721039,-0.40185649358124,-0.410188863182831,-0.31401816100206,-0.328660962971007,-0.372728600231216,-0.343154575581022,-0.392424940644132,-0.347621388822118,-0.404121627979114,-0.335132447533976,-0.395118344183402,-0.455586954504992,-0.469882709439977,-0.572760452865516,-0.54360709506812,-0.475291453861228,-0.458963479567998,-0.431289865709503,-0.440516936365778,-0.451828457883905,-0.576387214948024,-0.467632316664966,-0.474346339338203,-0.453476668000614,-0.407390929580911,-0.447529960677476,-0.481005961277206,-0.438153146023655,-0.517538958847748,-0.522346659407251,-0.538008521598719,-0.441486984339284,-0.437723351508743,-0.47020199638529,-0.584821014115664,-0.516824387539419,-0.484962111521104,-0.417967758705051,-0.627490584642123,-0.438279908605142,-0.531248836827,-0.410523431170534,-0.421749082556512,-0.549028153205055,-0.45390836567451,-0.435511431702273,-0.446123331165075,-0.525667002381597,-0.435181028855774,-0.481385563343101,-0.671949253902013,-0.391890401907682,-0.46047325990357,-0.344018065241282,-0.422257624854443,-0.379279327795836,-0.3771135791274,-0.411107777996178,-0.469231724824982,-0.484584425028789,-0.362446367475128,-0.427110617324082,-0.424025546262175,-0.440105660935393,-0.432317396673529,-0.395612514831013,-0.425450106287569,-0.408001289318106,-0.356412454344137,-0.425470488725047,-0.416596469366329,-0.471124775729748,-0.391654746548596,-0.353443860737709,-0.433122720597539,-0.442040901377587,-0.451946340228035,-0.411884139519611,-0.381238286453783,-0.388053346909997,-0.439459358853876,-0.335273414033689,-0.481476358529949,-0.363218688035879,-0.517835468192799
"10333.Manaus.3714.1313478",-0.277777753359767,-0.359510269699194,-0.325099200714988,-0.44145622456855,-0.339437890044487,-0.28810792332889,-0.337999842752941,-0.310260634291758,-0.377230878178318,0,-0.283867180497864,-0.454674838751287,-0.234898519383789,-0.387237696577593,-0.286287841071397,-0.248592022151934,-0.267608829931171,-0.274683167337649,-0.338248111660986,-0.340448058018452,-0.23396997202379,-0.407255232826682,-0.340230638398577,-0.271192199251541,-0.292515085644739,-0.298480976201118,-0.27579686769506,-0.332003533436028,-0.375659189269713,-0.394186774442486,-0.26173181061308,-0.30542212208741,-0.192189315038376,-0.342240788195844,-0.263567207126748,-0.272838981674952,-0.27120258111405,-0.521950994093626,-0.37125560774374,-0.234283371465355,-0.179280660907467,-0.293028201551149,-0.319852205750394,-0.264518106984381,-0.377567113905287,-0.317068633472848,-0.362783152212031,-0.33988772570337,-0.346793635714978,-0.42699098899471,-0.451495092274132,-0.502167778040345,-0.589498276914669,-0.343563774587861,-0.387421338662818,-0.346689887250187,-0.308634556090566,-0.384041247198343,-0.594850991359302,-0.428203307952111,-0.416123461988417,-0.428788459973565,-0.326346688076667,-0.452661149276096,-0.414487825385929,-0.372915421272304,-0.56496808063436,-0.553086494839901,-0.518649371092994,-0.404773679511801,-0.401922296057509,-0.337886154590577,-0.592752715850789,-0.491031616041788,-0.412813685565088,-0.368180053839219,-0.500631287543664,-0.401662021165576,-0.494344632419533,-0.338708294510547,-0.387090037564683,-0.569574495717997,-0.388120914806449,-0.394138639026835,-0.480670110162695,-0.472770154031524,-0.396245674512976,-0.499904932385299,-0.550017677373275,-0.356132443657293,-0.452973158581505,-0.274979824744672,-0.334416803709712,-0.348858627230978,-0.287308244495809,-0.412976799103408,-0.407884855639415,-0.453944870935503,-0.256706022927421,-0.335076509408057,-0.402107840401245,-0.412507005033433,-0.41451506950475,-0.269393929999812,-0.370506438095333,-0.31371587079082,-0.332750892698387,-0.33188072818761,-0.351670812001041,-0.290471830866431,-0.23927121185251,-0.254508215225807,-0.301590799357709,-0.340369845356233,-0.354572933697401,-0.296845593381917,-0.267225355139004,-0.386006802614473,-0.376440669060621,-0.328100806919988,-0.49879409981876,-0.302238170496982,-0.42420235505605
