	read depth	percent tips shuffles	fold tips subset	fold shuffle	fold depth	fold evaluation	metric	score
0	2000000	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	0.41950247795336804
1	2000000	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	0.7826882416947409
2	2000000	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	0.7601278313839273
3	2000000	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	0.6541263372731615
4	2000000	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	2.880797203719686
5	2000000	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	0.26618615194802053
6	2000000	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	1.3457848254740254
7	2000000	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	2.4275850915556987
8	2000000	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	0.35148871100780105
9	2000000	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	0.24440281932554908
10	500000	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	0.1535835071040246
11	500000	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	0.6113550047121765
12	500000	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	0.38909671398523993
13	500000	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	0.699872069873866
14	500000	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	1.1771069773207248
15	500000	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	0.6520860652406895
16	500000	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	0.8093192149695289
17	500000	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	1.7914880422922168
18	500000	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	1.067134486045872
19	500000	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	2.2032913200689017
20	200000	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	1.2864872497967375
21	200000	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	0.16792229334159633
22	200000	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	0.31555345491523445
23	200000	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	2.2179463579374707
24	200000	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	0.4719459635257177
25	200000	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	0.7899372041196029
26	200000	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	0.5474424488474624
27	200000	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	0.6552546970561679
28	200000	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	0.19513209210821764
29	200000	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	1.3531030414296064
30	20000	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	0.23234257853014892
31	20000	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	0.34293198072655257
32	20000	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	1.9542933331112375
33	20000	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	0.3323019074224494
34	20000	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	1.2190783704097508
35	20000	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	1.241786107414685
36	20000	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	1.0527849567710243
37	20000	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	0.2993141081966925
38	20000	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	1.5647439044531377
39	20000	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	0.6222634567317646
40	2000	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	1.2475481523385392
41	2000	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	0.3925160532131453
42	2000	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	0.9810721463411581
43	2000	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	0.537552965923685
44	2000	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	0.7513130313838269
45	2000	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	1.8415162707355803
46	2000	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	0.4322302531842659
47	2000	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	1.1506676232700488
48	2000	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	0.7748485889962254
49	2000	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	0.7600522063650041
50	200	no-phylogeny	0	0	0	0	PERMANOVA: F-statistic	1.482542901456648
51	200	no-phylogeny	0	0	1	0	PERMANOVA: F-statistic	1.914292191068066
52	200	no-phylogeny	0	0	2	0	PERMANOVA: F-statistic	0.43793882305945386
53	200	no-phylogeny	0	0	3	0	PERMANOVA: F-statistic	0.3217547073464059
54	200	no-phylogeny	0	0	4	0	PERMANOVA: F-statistic	1.4793505261826874
55	200	no-phylogeny	0	0	5	0	PERMANOVA: F-statistic	0.7138347005913723
56	200	no-phylogeny	0	0	6	0	PERMANOVA: F-statistic	0.47330049259359697
57	200	no-phylogeny	0	0	7	0	PERMANOVA: F-statistic	0.6879610143328698
58	200	no-phylogeny	0	0	8	0	PERMANOVA: F-statistic	0.5120743030544905
59	200	no-phylogeny	0	0	9	0	PERMANOVA: F-statistic	1.13293968894076
60	2000000	0.0	0	0	0	0	PERMANOVA: F-statistic	583.3360242477626
61	2000000	0.0	0	0	1	0	PERMANOVA: F-statistic	601.8172930268536
62	2000000	0.0	0	0	2	0	PERMANOVA: F-statistic	519.2881480394776
63	2000000	0.0	0	0	3	0	PERMANOVA: F-statistic	606.3668310720905
64	2000000	0.0	0	0	4	0	PERMANOVA: F-statistic	590.6138462222101
65	2000000	0.0	0	0	5	0	PERMANOVA: F-statistic	779.6223268047083
66	2000000	0.0	0	0	6	0	PERMANOVA: F-statistic	745.1823119635498
67	2000000	0.0	0	0	7	0	PERMANOVA: F-statistic	673.652825494584
68	2000000	0.0	0	0	8	0	PERMANOVA: F-statistic	691.3438975235954
69	2000000	0.0	0	0	9	0	PERMANOVA: F-statistic	575.3179782733774
70	500000	0.0	0	0	0	0	PERMANOVA: F-statistic	453.7355444388878
71	500000	0.0	0	0	1	0	PERMANOVA: F-statistic	457.678775130268
72	500000	0.0	0	0	2	0	PERMANOVA: F-statistic	454.8898736143258
73	500000	0.0	0	0	3	0	PERMANOVA: F-statistic	468.06710011710175
74	500000	0.0	0	0	4	0	PERMANOVA: F-statistic	502.25587542428076
75	500000	0.0	0	0	5	0	PERMANOVA: F-statistic	543.3595021615287
76	500000	0.0	0	0	6	0	PERMANOVA: F-statistic	427.58806792339084
77	500000	0.0	0	0	7	0	PERMANOVA: F-statistic	442.32032245613806
78	500000	0.0	0	0	8	0	PERMANOVA: F-statistic	510.8665960899165
79	500000	0.0	0	0	9	0	PERMANOVA: F-statistic	503.7680646247903
80	200000	0.0	0	0	0	0	PERMANOVA: F-statistic	407.6456849928795
81	200000	0.0	0	0	1	0	PERMANOVA: F-statistic	400.56695414621623
82	200000	0.0	0	0	2	0	PERMANOVA: F-statistic	385.8420402318988
83	200000	0.0	0	0	3	0	PERMANOVA: F-statistic	422.45442715379096
84	200000	0.0	0	0	4	0	PERMANOVA: F-statistic	377.71187701935406
85	200000	0.0	0	0	5	0	PERMANOVA: F-statistic	467.43595521491534
86	200000	0.0	0	0	6	0	PERMANOVA: F-statistic	452.4726589027252
87	200000	0.0	0	0	7	0	PERMANOVA: F-statistic	459.5042225215484
88	200000	0.0	0	0	8	0	PERMANOVA: F-statistic	459.4596524843093
89	200000	0.0	0	0	9	0	PERMANOVA: F-statistic	423.06026042926203
90	20000	0.0	0	0	0	0	PERMANOVA: F-statistic	193.77291101779787
91	20000	0.0	0	0	1	0	PERMANOVA: F-statistic	137.6000429129584
92	20000	0.0	0	0	2	0	PERMANOVA: F-statistic	167.21969211504043
93	20000	0.0	0	0	3	0	PERMANOVA: F-statistic	198.80323253336653
94	20000	0.0	0	0	4	0	PERMANOVA: F-statistic	132.93075219192346
95	20000	0.0	0	0	5	0	PERMANOVA: F-statistic	155.14243604281666
96	20000	0.0	0	0	6	0	PERMANOVA: F-statistic	175.1519301596712
97	20000	0.0	0	0	7	0	PERMANOVA: F-statistic	191.94661616753808
98	20000	0.0	0	0	8	0	PERMANOVA: F-statistic	162.80232711926172
99	20000	0.0	0	0	9	0	PERMANOVA: F-statistic	198.25700237120355
100	2000	0.0	0	0	0	0	PERMANOVA: F-statistic	98.20001709522147
101	2000	0.0	0	0	1	0	PERMANOVA: F-statistic	80.0173475105645
102	2000	0.0	0	0	2	0	PERMANOVA: F-statistic	86.2204168295355
103	2000	0.0	0	0	3	0	PERMANOVA: F-statistic	108.83096930922287
104	2000	0.0	0	0	4	0	PERMANOVA: F-statistic	103.91775097252054
105	2000	0.0	0	0	5	0	PERMANOVA: F-statistic	78.93253104126184
106	2000	0.0	0	0	6	0	PERMANOVA: F-statistic	103.43319622893469
107	2000	0.0	0	0	7	0	PERMANOVA: F-statistic	88.81736641025606
108	2000	0.0	0	0	8	0	PERMANOVA: F-statistic	77.9285043807105
109	2000	0.0	0	0	9	0	PERMANOVA: F-statistic	77.02005298378654
110	200	0.0	0	0	0	0	PERMANOVA: F-statistic	61.12435707168764
111	200	0.0	0	0	1	0	PERMANOVA: F-statistic	70.12905354128623
112	200	0.0	0	0	2	0	PERMANOVA: F-statistic	65.57976664332462
113	200	0.0	0	0	3	0	PERMANOVA: F-statistic	60.753348600146786
114	200	0.0	0	0	4	0	PERMANOVA: F-statistic	56.95395082824234
115	200	0.0	0	0	5	0	PERMANOVA: F-statistic	62.94533003884232
116	200	0.0	0	0	6	0	PERMANOVA: F-statistic	61.09583571160253
117	200	0.0	0	0	7	0	PERMANOVA: F-statistic	57.29916519032002
118	200	0.0	0	0	8	0	PERMANOVA: F-statistic	57.63766490549925
119	200	0.0	0	0	9	0	PERMANOVA: F-statistic	63.21720897910727
120	2000000	0.25	0	0	0	0	PERMANOVA: F-statistic	345.79813513333954
121	2000000	0.25	0	0	1	0	PERMANOVA: F-statistic	294.2608306673999
122	2000000	0.25	0	0	2	0	PERMANOVA: F-statistic	231.41239995722924
123	2000000	0.25	0	0	3	0	PERMANOVA: F-statistic	203.10496799292625
124	2000000	0.25	0	0	4	0	PERMANOVA: F-statistic	398.5306819636529
125	2000000	0.25	0	0	5	0	PERMANOVA: F-statistic	394.73333776722586
126	2000000	0.25	0	0	6	0	PERMANOVA: F-statistic	504.3518263638551
127	2000000	0.25	0	0	7	0	PERMANOVA: F-statistic	372.7393871847967
128	2000000	0.25	0	0	8	0	PERMANOVA: F-statistic	290.3025431629409
129	2000000	0.25	0	0	9	0	PERMANOVA: F-statistic	275.82418625581397
130	500000	0.25	0	0	0	0	PERMANOVA: F-statistic	302.26794021006265
131	500000	0.25	0	0	1	0	PERMANOVA: F-statistic	312.4829175237414
132	500000	0.25	0	0	2	0	PERMANOVA: F-statistic	247.94562886619892
133	500000	0.25	0	0	3	0	PERMANOVA: F-statistic	251.35403359089298
134	500000	0.25	0	0	4	0	PERMANOVA: F-statistic	369.73218226951076
135	500000	0.25	0	0	5	0	PERMANOVA: F-statistic	311.5344968870258
136	500000	0.25	0	0	6	0	PERMANOVA: F-statistic	258.44807756475313
137	500000	0.25	0	0	7	0	PERMANOVA: F-statistic	260.72438565588885
138	500000	0.25	0	0	8	0	PERMANOVA: F-statistic	281.87138474971965
139	500000	0.25	0	0	9	0	PERMANOVA: F-statistic	274.72574548187123
140	200000	0.25	0	0	0	0	PERMANOVA: F-statistic	181.9690247150322
141	200000	0.25	0	0	1	0	PERMANOVA: F-statistic	223.65648348916025
142	200000	0.25	0	0	2	0	PERMANOVA: F-statistic	177.99785497454272
143	200000	0.25	0	0	3	0	PERMANOVA: F-statistic	218.73174609728318
144	200000	0.25	0	0	4	0	PERMANOVA: F-statistic	242.17798806969384
145	200000	0.25	0	0	5	0	PERMANOVA: F-statistic	228.0052626763722
146	200000	0.25	0	0	6	0	PERMANOVA: F-statistic	198.70792846364304
147	200000	0.25	0	0	7	0	PERMANOVA: F-statistic	272.35433947003764
148	200000	0.25	0	0	8	0	PERMANOVA: F-statistic	277.3804129033155
149	200000	0.25	0	0	9	0	PERMANOVA: F-statistic	195.01745623392625
150	20000	0.25	0	0	0	0	PERMANOVA: F-statistic	139.9720779033337
151	20000	0.25	0	0	1	0	PERMANOVA: F-statistic	102.1709603019907
152	20000	0.25	0	0	2	0	PERMANOVA: F-statistic	147.88014586536187
153	20000	0.25	0	0	3	0	PERMANOVA: F-statistic	114.25240396209644
154	20000	0.25	0	0	4	0	PERMANOVA: F-statistic	100.19307543945739
155	20000	0.25	0	0	5	0	PERMANOVA: F-statistic	118.50596234552852
156	20000	0.25	0	0	6	0	PERMANOVA: F-statistic	145.66025553395866
157	20000	0.25	0	0	7	0	PERMANOVA: F-statistic	134.7959212869123
158	20000	0.25	0	0	8	0	PERMANOVA: F-statistic	125.72653589650565
159	20000	0.25	0	0	9	0	PERMANOVA: F-statistic	116.81831552490684
160	2000	0.25	0	0	0	0	PERMANOVA: F-statistic	63.1901963961449
161	2000	0.25	0	0	1	0	PERMANOVA: F-statistic	64.56068063165623
162	2000	0.25	0	0	2	0	PERMANOVA: F-statistic	60.74189763199362
163	2000	0.25	0	0	3	0	PERMANOVA: F-statistic	55.20923071686482
164	2000	0.25	0	0	4	0	PERMANOVA: F-statistic	77.39173107061043
165	2000	0.25	0	0	5	0	PERMANOVA: F-statistic	63.6031198430407
166	2000	0.25	0	0	6	0	PERMANOVA: F-statistic	73.58971687202727
167	2000	0.25	0	0	7	0	PERMANOVA: F-statistic	61.72206893512001
168	2000	0.25	0	0	8	0	PERMANOVA: F-statistic	61.621134599074146
169	2000	0.25	0	0	9	0	PERMANOVA: F-statistic	49.84390270567243
170	200	0.25	0	0	0	0	PERMANOVA: F-statistic	33.23098963201057
171	200	0.25	0	0	1	0	PERMANOVA: F-statistic	30.409751704945517
172	200	0.25	0	0	2	0	PERMANOVA: F-statistic	38.94216932609541
173	200	0.25	0	0	3	0	PERMANOVA: F-statistic	38.03527871199938
174	200	0.25	0	0	4	0	PERMANOVA: F-statistic	35.76483379191381
175	200	0.25	0	0	5	0	PERMANOVA: F-statistic	37.63255088253219
176	200	0.25	0	0	6	0	PERMANOVA: F-statistic	33.23693260679406
177	200	0.25	0	0	7	0	PERMANOVA: F-statistic	36.4161568291994
178	200	0.25	0	0	8	0	PERMANOVA: F-statistic	34.09908024212008
179	200	0.25	0	0	9	0	PERMANOVA: F-statistic	31.13316862197901
180	2000000	0.5	0	0	0	0	PERMANOVA: F-statistic	107.26329816081652
181	2000000	0.5	0	0	1	0	PERMANOVA: F-statistic	123.43722306411452
182	2000000	0.5	0	0	2	0	PERMANOVA: F-statistic	119.2495479422618
183	2000000	0.5	0	0	3	0	PERMANOVA: F-statistic	123.33425804960439
184	2000000	0.5	0	0	4	0	PERMANOVA: F-statistic	118.4876225842967
185	2000000	0.5	0	0	5	0	PERMANOVA: F-statistic	128.48109993846134
186	2000000	0.5	0	0	6	0	PERMANOVA: F-statistic	110.05742116035604
187	2000000	0.5	0	0	7	0	PERMANOVA: F-statistic	121.98933870460652
188	2000000	0.5	0	0	8	0	PERMANOVA: F-statistic	119.20226808441127
189	2000000	0.5	0	0	9	0	PERMANOVA: F-statistic	113.29453688488628
190	500000	0.5	0	0	0	0	PERMANOVA: F-statistic	150.91857183976313
191	500000	0.5	0	0	1	0	PERMANOVA: F-statistic	109.34169384257666
192	500000	0.5	0	0	2	0	PERMANOVA: F-statistic	104.8205730251969
193	500000	0.5	0	0	3	0	PERMANOVA: F-statistic	122.36954229082376
194	500000	0.5	0	0	4	0	PERMANOVA: F-statistic	139.95004230902856
195	500000	0.5	0	0	5	0	PERMANOVA: F-statistic	142.64325485366734
196	500000	0.5	0	0	6	0	PERMANOVA: F-statistic	122.31117567419501
197	500000	0.5	0	0	7	0	PERMANOVA: F-statistic	152.35184802004045
198	500000	0.5	0	0	8	0	PERMANOVA: F-statistic	142.01704493620286
199	500000	0.5	0	0	9	0	PERMANOVA: F-statistic	128.25324919649475
200	200000	0.5	0	0	0	0	PERMANOVA: F-statistic	100.1328646304012
201	200000	0.5	0	0	1	0	PERMANOVA: F-statistic	116.50860321465525
202	200000	0.5	0	0	2	0	PERMANOVA: F-statistic	106.60460416365248
203	200000	0.5	0	0	3	0	PERMANOVA: F-statistic	107.7240055061592
204	200000	0.5	0	0	4	0	PERMANOVA: F-statistic	110.63341092514118
205	200000	0.5	0	0	5	0	PERMANOVA: F-statistic	93.65332950728231
206	200000	0.5	0	0	6	0	PERMANOVA: F-statistic	112.5008705421628
207	200000	0.5	0	0	7	0	PERMANOVA: F-statistic	125.01276361912552
208	200000	0.5	0	0	8	0	PERMANOVA: F-statistic	105.45483570655512
209	200000	0.5	0	0	9	0	PERMANOVA: F-statistic	109.77333848033628
210	20000	0.5	0	0	0	0	PERMANOVA: F-statistic	63.003703883071324
211	20000	0.5	0	0	1	0	PERMANOVA: F-statistic	56.699461076844536
212	20000	0.5	0	0	2	0	PERMANOVA: F-statistic	54.35944907578738
213	20000	0.5	0	0	3	0	PERMANOVA: F-statistic	50.826625845022065
214	20000	0.5	0	0	4	0	PERMANOVA: F-statistic	52.39625218880679
215	20000	0.5	0	0	5	0	PERMANOVA: F-statistic	55.1429811056548
216	20000	0.5	0	0	6	0	PERMANOVA: F-statistic	46.478927349201385
217	20000	0.5	0	0	7	0	PERMANOVA: F-statistic	70.85494377823446
218	20000	0.5	0	0	8	0	PERMANOVA: F-statistic	63.252495390579625
219	20000	0.5	0	0	9	0	PERMANOVA: F-statistic	67.06457359788192
220	2000	0.5	0	0	0	0	PERMANOVA: F-statistic	28.226150970463543
221	2000	0.5	0	0	1	0	PERMANOVA: F-statistic	24.353246404015493
222	2000	0.5	0	0	2	0	PERMANOVA: F-statistic	44.83217344397505
223	2000	0.5	0	0	3	0	PERMANOVA: F-statistic	38.800024234187525
224	2000	0.5	0	0	4	0	PERMANOVA: F-statistic	29.787710766374882
225	2000	0.5	0	0	5	0	PERMANOVA: F-statistic	33.86155332503684
226	2000	0.5	0	0	6	0	PERMANOVA: F-statistic	34.502279818088944
227	2000	0.5	0	0	7	0	PERMANOVA: F-statistic	32.09854963794536
228	2000	0.5	0	0	8	0	PERMANOVA: F-statistic	30.046517587454392
229	2000	0.5	0	0	9	0	PERMANOVA: F-statistic	39.61673459971777
230	200	0.5	0	0	0	0	PERMANOVA: F-statistic	13.792855380232094
231	200	0.5	0	0	1	0	PERMANOVA: F-statistic	17.852528224619725
232	200	0.5	0	0	2	0	PERMANOVA: F-statistic	14.072402863105795
233	200	0.5	0	0	3	0	PERMANOVA: F-statistic	14.688930957742892
